greeter	screener	dispenser	medic	resources	throughput	time
1	33	5	1	40	380.0	39.4755732567
4	6	25	7	42	1897.33333333	30.1928010182
15	1	27	6	49	2076.0	51.8259451026
22	10	14	7	53	1047.33333333	26.5330363492
12	6	38	1	57	2914.33333333	30.4407235905
35	15	16	11	77	1284.66666667	26.0277492575
17	27	26	7	77	1993.0	27.0843836144
22	11	21	24	78	1617.33333333	25.076732641
15	3	55	5	78	4180.33333333	33.639711637
22	14	41	6	83	3162.33333333	21.3163076701
18	13	57	7	95	4219.33333333	20.1034690783
15	20	57	4	96	4275.0	22.1877963707
24	13	57	7	101	4299.66666667	18.4950036307
24	8	59	32	123	4529.66666667	18.0063762376
16	26	60	21	123	4595.66666667	20.2830156336
25	39	60	58	182	4526.33333333	17.9648784337
46	39	60	58	203	4531.0	17.8566459972
