greeter	screener	dispenser	medic	resources	throughput	time
1	1	5	1	8	368.0	39.266881079
4	1	5	1	11	376.0	68.8552173068
4	1	5	2	12	378.333333333	68.1115499512
5	1	5	1	12	398.666666667	68.5851131334
4	3	5	1	13	371.333333333	51.7291428632
5	3	5	1	14	390.0	51.5610253902
8	1	5	2	16	391.666666667	67.8106114084
1	1	14	1	17	612.333333333	28.4794043693
4	1	12	1	18	897.0	60.4311927783
5	1	12	1	19	937.0	61.4882176382
4	3	12	1	20	912.0	47.0815679876
4	1	14	1	20	1059.66666667	55.8066400574
5	1	14	1	21	1092.33333333	60.812089495
4	3	14	1	22	1091.0	43.7566004329
4	3	14	2	23	1081.0	41.7250203052
4	3	14	3	24	1068.66666667	40.7073853152
6	3	14	1	24	1110.33333333	56.9961701255
4	8	14	2	28	1094.33333333	40.6613926356
1	1	25	2	29	613.0	28.4531416832
4	8	14	3	29	1077.66666667	39.6392639894
8	6	14	2	30	1096.0	42.3082040265
9	6	14	1	30	1096.33333333	50.3014242351
6	8	14	3	31	1098.33333333	41.1092122713
9	6	14	2	31	1104.66666667	41.9588119155
4	1	25	1	31	1868.33333333	47.8006494453
4	1	25	2	32	1857.0	47.3646688101
4	3	25	1	33	1913.66666667	33.2339528248
4	1	27	1	33	2065.0	42.2657384194
1	20	12	1	34	620.0	28.2080257108
4	3	25	2	34	1897.66666667	30.621418455
4	3	27	1	35	1997.66666667	30.0421350677
1	20	14	1	36	621.333333333	28.2301037575
4	3	27	2	36	2008.0	29.0308663031
4	3	27	3	37	2017.0	28.9635313276
5	3	27	3	38	2049.0	35.4911153974
9	1	27	1	38	2067.33333333	55.990992546
9	1	27	2	39	2071.66666667	56.2246878157
9	3	27	1	40	2084.0	49.8462830946
4	6	27	4	41	2035.66666667	28.6374283942
6	3	27	5	41	2050.33333333	39.5507270033
5	8	27	1	41	2104.66666667	42.165601505
5	8	27	2	42	2075.66666667	32.1589533294
5	8	27	3	43	2049.0	31.6900769317
22	14	2	6	44	160.333333333	26.8646915061
4	1	38	1	44	2173.66666667	41.7549199458
22	14	2	7	45	174.0	28.0973043057
5	8	27	5	45	2080.33333333	31.2961714321
9	8	27	1	45	2086.33333333	39.7311318934
5	1	38	1	45	2648.66666667	42.9163378531
4	3	38	1	46	2458.0	28.10545529
5	1	38	2	46	2648.0	42.4006129645
6	1	38	1	46	2888.33333333	48.7368235658
5	3	38	1	47	2868.66666667	32.5516499466
6	3	38	1	48	2896.66666667	35.6973462186
4	3	38	4	49	2452.33333333	24.0259931808
4	6	38	1	49	2487.66666667	28.5493459903
6	1	41	1	49	3066.0	44.564853188
4	6	38	2	50	2493.66666667	24.2002515355
5	6	38	1	50	2835.33333333	26.4236837241
5	3	41	1	50	2991.33333333	27.1436759992
6	1	41	2	50	3040.33333333	43.4011602638
4	6	38	3	51	2494.66666667	23.8122031085
5	3	41	2	51	3011.66666667	25.8334388343
6	3	41	1	51	3126.33333333	38.3856289907
4	6	38	4	52	2494.66666667	23.5384960511
5	6	38	3	52	2884.66666667	24.095659986
5	3	41	3	52	3029.66666667	25.6472855053
6	3	41	2	52	3110.66666667	33.6603503694
4	6	41	2	53	2476.33333333	23.4304406952
5	6	38	4	53	2895.0	23.8917145574
6	3	41	3	53	3137.66666667	32.1552724897
5	6	41	2	54	2975.33333333	24.8088845125
6	6	41	1	54	3204.0	31.8628211851
5	6	41	3	55	2998.0	23.3404809552
6	6	41	2	55	3157.0	25.9724183409
6	6	41	3	56	3165.0	25.0102304107
5	6	41	5	57	2977.33333333	22.7881946817
5	8	41	3	57	3014.0	22.8535205288
6	6	41	4	57	3149.0	24.9603915602
6	8	41	5	60	3121.33333333	24.6905910744
8	6	41	5	60	3171.33333333	27.9931043779
15	6	41	1	63	3208.0	47.8319307412
6	3	55	1	65	3499.66666667	45.2883640357
6	3	55	2	66	3483.0	31.5862623955
9	1	55	1	66	4135.66666667	44.0977269752
6	3	55	3	67	3510.33333333	29.6712420682
8	3	55	1	67	4154.33333333	34.0859753971
6	6	55	1	68	3714.66666667	24.5542769735
8	3	55	2	68	4178.0	32.9894433883
9	1	57	1	68	4295.33333333	42.1113280705
6	6	55	2	69	3702.0	21.0593298244
8	3	55	3	69	4210.33333333	32.5730623406
8	3	57	1	69	4362.33333333	41.2972893101
6	6	55	3	70	3705.66666667	20.5268248994
6	6	57	1	70	3729.33333333	23.3640438519
8	3	55	4	70	4202.33333333	32.4334459994
8	3	57	2	70	4335.33333333	35.8843573571
6	6	55	4	71	3704.66666667	20.5175326657
6	6	57	2	71	3715.0	21.2556874679
8	6	55	2	71	4082.0	27.4603692634
8	3	57	3	71	4312.66666667	33.335693258
9	3	57	2	71	4359.0	36.3147084928
8	6	55	3	72	4013.33333333	23.2114278147
8	6	57	1	72	4362.0	27.7511199213
8	3	60	1	72	4467.33333333	38.4743932454
9	1	60	2	72	4484.0	40.5934842756
6	6	57	4	73	3722.66666667	20.3998389296
8	6	55	4	73	4052.66666667	22.6905561787
8	8	55	2	73	4102.33333333	24.9590862993
8	6	57	2	73	4274.66666667	27.7498348205
8	3	60	2	73	4465.33333333	32.850501396
9	3	60	1	73	4549.66666667	40.6489129528
8	6	55	5	74	4085.66666667	22.46575963
8	8	55	3	74	4149.33333333	23.1529931406
8	6	57	3	74	4298.0	23.2566203795
8	3	60	3	74	4453.66666667	31.2039184649
9	3	60	2	74	4531.33333333	33.5457565684
6	6	60	3	75	3744.66666667	22.0067016401
8	8	55	4	75	4130.66666667	22.3602894804
8	6	60	1	75	4537.66666667	30.8347298796
6	6	60	4	76	3740.0	21.1033161048
8	6	57	5	76	4349.33333333	21.1335971359
8	6	60	2	76	4510.33333333	25.4587312313
9	6	60	1	76	4607.66666667	42.6598420579
6	6	60	5	77	3746.33333333	20.5413756151
8	6	60	3	77	4519.33333333	21.7518424941
8	8	60	1	77	4540.0	24.783497912
8	6	60	4	78	4498.0	19.8725628025
9	6	60	3	78	4522.0	22.8855429334
8	8	60	2	78	4528.33333333	22.9459755653
8	6	60	5	79	4535.33333333	19.8343623658
