greeter	screener	dispenser	medic	resources	throughput	time
1	33	5	1	40	406.0	35.7898390053
4	6	25	7	42	1879.33333333	25.9714435733
15	1	27	6	49	2065.0	37.5324242167
12	6	38	1	57	2864.0	34.2778102937
15	6	38	1	60	2926.33333333	28.6032033773
27	18	12	7	64	918.333333333	24.3556391939
17	27	26	7	77	1946.0	19.3926096847
15	3	55	5	78	3522.0	24.1613411365
9	12	34	24	79	2580.33333333	22.0800493322
22	14	41	6	83	3109.66666667	17.428239124
12	26	41	6	85	3203.0	13.9649389432
8	29	52	1	90	3987.0	28.8943834519
18	13	57	7	95	4321.0	10.7769322921
24	13	57	7	101	4365.0	10.277536149
16	26	60	21	123	4510.33333333	6.93530090645
13	37	60	23	133	4495.66666667	6.47428263779
