greeter	screener	dispenser	medic	resources	throughput	time
1	33	5	1	40	394.0	40.0849810124
1	33	5	2	41	380.0	38.2262009141
4	6	25	7	42	1573.0	31.0426524886
15	1	27	6	49	1362.66666667	28.4725035627
12	6	38	1	57	2342.33333333	33.7820586869
24	1	27	6	58	1361.33333333	27.3184617242
17	27	26	7	77	2001.33333333	22.2503983162
9	12	34	24	79	2590.66666667	22.8118111263
19	24	38	1	82	2910.33333333	41.4493871248
22	14	41	6	83	3123.0	18.536492295
12	26	41	6	85	3133.66666667	22.2903629097
5	28	35	21	89	2671.0	17.1902440314
8	29	52	1	90	3919.66666667	36.4176219444
22	10	41	19	92	2990.33333333	18.2503360117
18	13	57	7	95	3580.0	14.8222340839
24	13	57	7	101	3592.33333333	14.9802652347
18	13	57	14	102	3592.66666667	14.6839732297
15	26	47	18	106	3601.0	11.3666838775
16	26	60	21	123	4498.66666667	6.54838065979
25	39	60	58	182	4548.0	6.68192713422
46	39	60	58	203	4531.33333333	6.67559650907
