greeter	screener	dispenser	medic	resources	throughput	time
4	1	6	1	12	475.666666667	71.7808814274
5	1	6	1	13	468.333333333	69.3337219304
4	3	6	1	14	469.333333333	60.862781476
4	6	6	1	17	452.333333333	52.1886880486
4	3	6	5	18	470.333333333	53.7938371425
4	1	14	1	20	1076.33333333	57.8971114239
4	6	6	5	21	460.0	47.2520015079
5	1	14	1	21	1109.33333333	63.2225139668
5	6	6	5	22	463.666666667	46.5414881254
4	3	14	1	22	1078.33333333	54.0855029789
5	6	6	6	23	473.333333333	46.52717292
4	1	14	5	24	1107.66666667	57.749957887
4	6	14	1	25	1104.33333333	50.665203056
5	1	14	5	25	1117.0	59.9107436169
4	3	14	5	26	1077.33333333	45.8381198967
4	1	20	1	26	1485.33333333	54.8565380688
5	1	20	1	27	1507.66666667	59.3984417709
4	3	20	1	28	1496.0	45.2904599291
1	17	6	5	29	467.666666667	35.4868106093
4	6	14	5	29	1059.0	40.1971203834
4	10	14	1	29	1086.0	43.0052908418
5	3	20	1	29	1515.0	51.4671176194
4	6	20	1	31	1510.33333333	45.0620340283
9	1	20	1	31	1517.0	60.4679018405
4	3	20	5	32	1525.66666667	40.0675488394
5	6	20	1	32	1570.66666667	43.02567237
4	10	14	5	33	1072.0	39.6437984365
4	1	27	1	33	1876.0	48.9103158298
5	1	27	1	34	2042.66666667	57.4980472591
4	6	20	5	35	1536.66666667	34.8971197645
4	3	27	1	35	2008.0	41.4156174451
5	6	20	5	36	1562.0	36.4660267258
5	3	27	1	36	2100.66666667	40.9875439626
4	6	27	1	38	1996.0	34.4085287111
4	3	27	5	39	2013.33333333	33.5275411928
5	6	27	1	39	2023.0	34.8390073785
4	6	25	5	40	1913.66666667	29.9195802315
4	6	27	5	42	1991.0	29.2097838376
5	6	27	5	43	2064.66666667	31.8322021842
12	3	27	1	43	2116.66666667	56.0523941191
5	1	38	1	45	2348.33333333	48.1660011728
4	10	27	5	46	2043.66666667	28.1275918346
4	3	38	1	46	2258.66666667	42.0974395344
5	1	39	1	46	2328.0	47.1947728574
5	3	38	1	47	2705.66666667	35.7548808902
4	6	38	1	49	2465.66666667	30.2079045704
9	1	38	1	49	2907.66666667	53.9198565477
4	6	35	5	50	2491.66666667	23.8305736132
5	6	38	1	50	2796.0	29.7251654063
9	1	39	1	50	3032.0	55.4533403182
5	6	39	1	51	2944.66666667	32.1553190546
9	1	41	1	52	3139.33333333	55.5956258525
4	6	38	5	53	2462.66666667	23.5698564525
5	6	41	1	53	2978.66666667	26.3752935746
12	1	39	1	53	2991.33333333	50.8627181896
4	6	39	5	54	2501.66666667	23.6830389477
5	6	38	5	54	2840.33333333	24.3579630837
9	1	39	5	54	2982.33333333	50.5031897175
5	6	39	5	55	2927.66666667	23.6657734318
13	3	39	1	56	2998.66666667	49.2779566019
5	6	41	5	57	3035.0	22.8326065909
9	6	41	1	57	3088.33333333	52.1108207684
5	6	41	6	58	3042.33333333	22.7027592844
5	6	46	1	58	3076.33333333	30.8527418575
9	3	41	5	58	3136.66666667	44.8834803434
9	1	47	1	58	3444.33333333	48.3686857298
5	6	47	1	59	3082.33333333	28.3161368641
9	3	46	1	59	3489.33333333	47.4769005078
9	3	47	1	60	3564.66666667	46.1272796203
5	10	41	5	61	3059.66666667	22.3619500104
9	6	41	5	61	3131.0	37.099023551
12	1	47	1	61	3593.66666667	47.9050446503
5	6	46	5	62	3081.66666667	22.3401371878
9	6	41	6	62	3144.66666667	37.0690240064
5	6	47	5	63	3063.0	22.2195674571
9	12	41	1	63	3112.66666667	36.2634432811
9	3	46	5	63	3540.66666667	41.6920575652
9	3	47	5	64	3609.0	40.3482179069
13	3	47	1	64	3626.0	50.5884557064
9	10	41	5	65	3119.33333333	28.9430828007
5	10	46	5	66	3080.0	22.0846818524
9	10	41	6	66	3101.0	28.7862930219
9	6	46	5	66	3510.66666667	34.8248415097
9	1	55	1	66	4038.66666667	44.8836339033
9	12	41	5	67	3144.33333333	29.7675581584
9	6	47	5	67	3634.0	34.8441494377
9	12	41	6	68	3110.66666667	28.7398424295
12	10	41	5	68	3186.66666667	33.0084501477
9	6	47	6	68	3673.0	34.1987563318
9	3	55	1	68	4130.0	42.1222412654
5	12	47	5	69	3107.66666667	21.925357728
9	12	41	7	69	3114.66666667	28.6140910307
9	6	47	7	69	3672.0	34.0483785959
12	1	55	1	69	4137.33333333	45.001542176
9	10	46	5	70	3496.0	26.6381779058
9	10	46	6	71	3462.0	26.5820030328
9	10	47	5	71	3578.66666667	26.7168846579
9	6	47	9	71	3654.0	33.8646734342
9	10	47	6	72	3589.0	26.726482117
9	3	55	5	72	4103.0	37.6398070597
13	3	55	1	72	4182.33333333	53.6181745878
9	3	60	1	73	4419.33333333	47.9461242669
9	3	57	5	74	4288.33333333	36.5489697573
12	1	60	1	74	4494.33333333	42.4568428758
9	12	47	7	75	3617.0	26.669679805
9	6	55	5	75	4159.66666667	31.6953701501
9	6	55	6	76	4130.33333333	31.2474220896
