greeter	screener	dispenser	medic	resources	throughput	time
1	33	5	1	40	358.666666667	46.9663396033
1	33	5	2	41	352.333333333	40.8799952824
4	6	25	7	42	1373.66666667	38.1806815572
15	1	27	6	49	1104.0	34.9755555685
12	6	38	1	57	1846.66666667	44.3231474899
24	1	27	6	58	1381.0	27.271854881
20	6	38	1	65	2294.66666667	37.1181705703
15	3	55	5	78	1455.66666667	33.8789228417
9	12	34	24	79	2627.33333333	33.8377542718
19	24	38	1	82	2971.33333333	59.0465150935
22	14	41	6	83	3097.66666667	27.4958686154
15	26	41	6	88	3126.0	35.6667156148
5	28	35	21	89	2627.0	25.6751314171
8	29	52	1	90	3922.0	44.4480393657
22	10	41	19	92	2997.0	25.2206324817
18	13	57	7	95	3534.0	24.1271538112
24	13	57	7	101	3578.66666667	23.219448605
15	26	47	18	106	3594.66666667	29.6892281481
5	41	58	11	115	3059.66666667	22.26206505
19	24	47	31	121	3709.33333333	26.9838829516
16	26	60	21	123	4566.0	24.5207694321
8	29	52	42	131	3958.0	22.9205444103
13	37	60	23	133	4504.66666667	22.6169228093
55	17	58	11	141	4270.0	21.6611370034
45	59	41	19	164	3146.66666667	21.4955052535
38	51	53	37	179	3989.0	21.03894672
22	58	50	50	180	3817.0	19.1372384376
25	39	60	58	182	4549.33333333	22.6196976442
45	59	52	28	184	3953.33333333	19.1723805097
46	39	60	58	203	4652.66666667	22.4053115164
